sex,height_cm,weight_kg,arm_span_cm,climbing_years,max_boulder_grade,climbing_frequency,climbing_hours,training_hours,hangboard_frequency,campus_frequency,campus_hours,endurance_frequency,general_stength_frequency,general_strength_hours,max_pull_ups,trains_full_crimp,trains_half_crimp,trains_open_crimp,trains_front_3,trains_back_3,trains_front_2,trains_middle_2,trains_back_2,trains_slopers,trains_pinch,trains_monos,trains_repeaters,trains_max_weight,trains_min_edge,trains_one_arm_hang,trains_no_hangs,trains_other_protocol,trains_laps_of_routes,trains_4x4,trains_arc,trains_systems_boards,trains_max_moves,trains_route_climbing_intervals,trains_threshold_intervals,trains_antagonists,trains_legs,trains_core,trains_upper_body_pulling,trains_upper_body_pushing,climbs_indoors,climbs_outdoors,boulders,route_climbs,cardio,yoga
True,175.0,73.0,183.0,0.25,2,2,4,2,0,0,0,2,2,2,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,False
True,178.0,70.0,195.0,14.75,13,4,12,4,2,1,1,1,3,3,25,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False
False,170.0,59.0,173.0,1.25,,4,7,12,0,0,0,2,2,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
True,177.0,70.0,185.5,5.25,7,4,7,1,1,0,0,1,4,3,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
True,178.0,75.0,180.0,5.75,7,4,5,5,1,0,0,1,4,3,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
False,165.0,65.0,163.0,4.75,4,4,9,0,0,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
True,174.0,73.0,179.0,4.25,7,3,5,2,2,0,0,0,1,1,15,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False
True,180.0,65.77,185.0,8.25,11,4,5,10,2,0,0,0,2,4,30,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False
False,171.0,74.0,178.0,2.75,5,1,3,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False
True,170.0,66.5,171.0,10.75,4,2,4,8,1,0,0,3,1,1,10,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
True,188.0,87.0,200.0,1.25,6,3,7,2,0,0,0,0,2,1,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,True
True,180.0,74.0,180.0,2.25,8,3,9,0,3,0,0,0,3,5,12,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True
True,186.0,70.0,196.0,0.25,5,4,10,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
True,177.0,61.2,177.0,1.25,5,3,5,3,0,0,0,0,1,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
True,175.0,73.0,177.0,15.25,7,3,5,2,0,0,0,0,1,1,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False
True,168.0,55.0,173.0,5.75,13,3,5,3,1,3,2,1,3,1,,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
True,193.0,90.0,195.0,3.25,,3,9,1,0,3,2,0,3,3,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False
True,175.0,56.7,177.5,8.25,10,3,9,1,1,0,0,0,0,0,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
True,160.0,52.0,163.0,2.25,7,3,9,9,3,3,1,0,3,3,15,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False
True,185.0,67.0,,6.25,,2,1,4,0,2,0,0,1,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False
True,177.0,71.0,178.0,15.25,10,3,7,2,2,2,1,2,3,2,25,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
True,160.0,44.0,167.0,4.75,9,7,12,12,3,0,0,3,4,4,,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
True,172.0,68.0,172.0,2.25,9,3,4,5,2,1,1,0,3,9,25,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
True,180.0,63.0,177.0,15.25,9,3,4,6,2,0,0,0,1,1,22,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False
True,184.0,78.0,184.0,4.25,11,4,11,2,0,1,1,1,2,6,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
True,183.0,77.5,193.0,2.75,10,5,12,6,3,1,1,0,3,4,18,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False
True,182.0,78.0,190.0,3.25,7,3,2,3,1,0,0,0,2,1,20,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
True,184.0,90.0,186.0,15.25,8,2,4,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
True,178.0,68.0,178.0,2.25,8,2,6,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
True,178.0,79.0,172.0,13.25,8,4,9,0,0,0,0,0,0,0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
True,190.0,87.0,194.0,0.75,3,2,2,2,0,0,0,0,5,6,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False
True,185.0,86.0,188.0,10.25,7,2,5,1,0,2,1,0,0,0,15,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
True,176.0,70.0,180.0,0.25,3,2,6,0,0,0,0,0,2,2,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False
True,185.0,68.0,188.0,4.25,8,3,3,0,0,0,0,0,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False
True,183.0,84.0,190.5,1.25,8,6,5,10,1,2,5,0,4,10,14,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False
True,185.0,82.0,178.0,1.25,6,3,9,0,0,0,0,3,2,4,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,False
True,184.0,75.0,187.0,3.75,7,3,12,6,1,1,1,2,2,8,20,True,True,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True
False,175.0,55.0,167.0,11.75,,2,6,1,1,0,0,1,0,0,,True,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
True,188.0,83.5,,4.25,6,3,8,3,1,1,1,1,4,4,,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True
True,187.96,73.5,193.0,2.75,8,3,6,3,3,2,1,0,2,2,,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
True,172.0,67.0,178.0,4.25,9,4,10,10,0,0,0,0,5,10,20,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
True,183.0,68.0,182.0,2.25,6,3,8,1,0,3,1,2,3,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
False,157.5,48.5,157.0,2.75,7,4,8,4,2,1,1,1,4,3,7,False,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False
True,180.0,73.4,183.0,7.25,10,3,2,5,1,0,0,0,3,1,25,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True
True,177.0,59.0,177.0,0.75,6,3,7,0,0,0,0,0,0,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
True,178.0,58.0,,1.75,6,2,5,1,0,0,0,0,1,1,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False
True,181.0,74.0,,0.25,5,3,6,0,0,0,0,1,0,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False
False,168.0,52.0,172.0,7.75,6,3,7,6,2,2,2,2,1,1,17,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True
